travel e6ca
bomb f568
lightbulb e0f0
photo-library e413
badge ea67
book_2 f53e
help e887
image e3f4
info e88e
wifi e63e
joystick f5ee
cloud e2bd
description e873
schedule e8b5
monitoring f190
timer e425
deployed-code f720
rainy f176
weather_snowy e2cd
thunderstorm ebdb
sunny e81a
playing_cards f5dc
casino eb40
format_list_bulleted e241
check_box e834
school e80c
science ea4b
construction ea3c
water_full f6d6
compass_north f1e0
compass_north_east f1e1
compass_east f1df
compass_south_east f1e4
compass_south f1e3
compass_south_west f1e5
compass_west f1e6
compass_north_west f1e2
folder e2c7
folder_off eb83
folder_check f3d7
directory_sync e394
cancel e5c9
pending ef64
